Year,Municipality,05_Q1_CDD,05_Q2_CDD,06_Q1_CDD,06_Q2_CDD,07_Q1_CDD,07_Q2_CDD,08_Q1_CDD,08_Q2_CDD,09_Q1_CDD,09_Q2_CDD,10_Q1_CDD,10_Q2_CDD,05_Q1_HDD,05_Q2_HDD,06_Q1_HDD,06_Q2_HDD,07_Q1_HDD,07_Q2_HDD,08_Q1_HDD,08_Q2_HDD,09_Q1_HDD,09_Q2_HDD,10_Q1_HDD,10_Q2_HDD,05_Q1_Max_Temp,05_Q2_Max_Temp,06_Q1_Max_Temp,06_Q2_Max_Temp,07_Q1_Max_Temp,07_Q2_Max_Temp,08_Q1_Max_Temp,08_Q2_Max_Temp,09_Q1_Max_Temp,09_Q2_Max_Temp,10_Q1_Max_Temp,10_Q2_Max_Temp,05_Q1_Mean_Temp,05_Q2_Mean_Temp,06_Q1_Mean_Temp,06_Q2_Mean_Temp,07_Q1_Mean_Temp,07_Q2_Mean_Temp,08_Q1_Mean_Temp,08_Q2_Mean_Temp,09_Q1_Mean_Temp,09_Q2_Mean_Temp,10_Q1_Mean_Temp,10_Q2_Mean_Temp,05_Q1_Min_Temp,05_Q2_Min_Temp,06_Q1_Min_Temp,06_Q2_Min_Temp,07_Q1_Min_Temp,07_Q2_Min_Temp,08_Q1_Min_Temp,08_Q2_Min_Temp,09_Q1_Min_Temp,09_Q2_Min_Temp,10_Q1_Min_Temp,10_Q2_Min_Temp,05_Q1_Ptol,05_Q2_Ptol,06_Q1_Ptol,06_Q2_Ptol,07_Q1_Ptol,07_Q2_Ptol,08_Q1_Ptol,08_Q2_Ptol,09_Q1_Ptol,09_Q2_Ptol,10_Q1_Ptol,10_Q2_Ptol,05_Q1_Total Rain,05_Q2_Total Rain,06_Q1_Total Rain,06_Q2_Total Rain,07_Q1_Total Rain,07_Q2_Total Rain,08_Q1_Total Rain,08_Q2_Total Rain,09_Q1_Total Rain,09_Q2_Total Rain,10_Q1_Total Rain,10_Q2_Total Rain,05_Q1_Total Snow,05_Q2_Total Snow,06_Q1_Total Snow,06_Q2_Total Snow,07_Q1_Total Snow,07_Q2_Total Snow,08_Q1_Total Snow,08_Q2_Total Snow,09_Q1_Total Snow,09_Q2_Total Snow,10_Q1_Total Snow,10_Q2_Total Snow
1996,ALEXANDER,0.0,1.4060249999999996,32.70173016,41.16650013,31.423715540000003,15.57599733,36.851627109999995,46.02345307,11.249906460000002,0.0,0.0,0.0,173.630529933,92.006593626,27.738542224999996,24.53614348,8.940308779999999,8.834549830000002,12.304288869999997,10.66350667,42.301725149999996,106.50018294899999,153.759129988,239.004177564,12.067056905333335,17.26283303625,23.975358298,23.540151701333333,24.728620555333336,22.68139000125,23.711181632,25.1533987,19.959351132666665,14.264224027733333,11.191034032333333,5.620347182625,6.4246313378,12.337464460875,18.330879195666668,19.108690443333334,19.498893784,18.42134046875,19.636489215999998,20.20999665,15.929878753999999,10.8999878034,7.749391334133334,3.06223890225,0.7822057696000001,7.412095882875,12.686400087466668,14.6772291812,14.269167010066667,14.161290931875,15.561796795733333,15.2665945963125,11.900406371933334,7.5357515778,4.307748634533334,0.504130621625,0.021029114,0.11394987200000001,0.016585739000000002,0.029816911,0.080074518,0.068031171,0.04438992,0.045396283,0.0532327,0.024933591,0.015925829,0.030042397,0.021029114,0.11394987200000001,0.016585739000000002,0.029816911,0.080074518,0.068031171,0.04438992,0.045396283,0.0532327,0.024933591,0.015925829,0.030042397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,ALONSA,0.0,2.0147286100000024,37.19736791,35.92002794,39.12834962,18.739317289999995,31.13512478,51.41377012000001,2.9507060000000003,0.0,0.0,0.0,171.436143871,101.380636975,26.685148665,34.90643282,8.412884659999998,8.152940270000002,12.510988260000003,5.7903813,48.86866445,107.377025929,141.360087704,258.24764327,11.975606118,16.6414063486875,23.826375703666667,22.385732280666666,24.855294899333334,22.55529456375,23.450135946666666,26.04707411875,19.0548885,14.171338206066668,11.781615647933334,4.4205448211875,6.570923741933333,11.7896307271875,18.700814616333332,18.067573008,20.047697664,18.66164856375,19.24160910133333,20.85146180125,14.938802769999999,10.841531604733332,8.575994153066667,1.8595222956250002,1.1662413641333336,6.9378551056874995,13.575253523666667,13.749413731066666,15.240100424666668,14.768002559374999,15.033082251666666,15.655849475625,10.822717036933334,7.511725002133333,5.3703726570666666,-0.7015002302500001,0.012928738,0.041502816000000005,0.016910186,0.034612251999999996,0.058935415,0.080041534,0.030212856,0.010850025,0.033198945,0.015887346,0.017047676,0.052275829999999995,0.012928738,0.041502816000000005,0.016910186,0.034612251999999996,0.058935415,0.080041534,0.030212856,0.010850025,0.033198945,0.015887346,0.017047676,0.052275829999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,ARGYLE,0.0,0.1528125299999985,24.44087044,34.40478263,27.13197053,17.74556145,28.276071000000005,43.54949488,7.005108459999999,0.0,0.0,0.0,175.493650377,91.405405598,28.676525513,33.109041532,11.85378845,15.86859437,10.573192410000003,6.911685339999998,44.83319882,111.52863729799999,134.676792629,254.886608023,12.045140026733332,17.14334201625,23.078984037999998,22.375947961333335,24.114426115333334,22.18997248,23.629906538666667,25.85774750625,20.168213772,13.643115331733334,12.806621115733332,5.0615401501875,6.3004233082,12.29671293325,17.717622995133336,18.086382739866668,19.018545472000003,18.1173104425,19.180191906,20.28986309625,15.478127309333333,10.564757513466667,9.021547158066666,2.0695869985625,0.5557065891333333,7.450083846875,12.356261947533334,13.796817516266666,13.922664823866667,14.0446484,14.730477268933333,14.72197867925,10.788040842733333,7.486399691666667,5.236473198666667,-0.922366153125,0.0,0.1,0.03,0.060000000000000005,0.03,0.07,0.030000000000000002,0.03,0.02,0.02,0.0,0.02,0.0,0.1,0.03,0.060000000000000005,0.03,0.07,0.030000000000000002,0.03,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,ARMSTRONG,0.0,2.2875407400000007,35.58978774,36.77004047,36.36639664,17.17536239,32.88294666,48.52805443,3.634399199999997,0.0,0.0,0.0,171.226249363,99.003804622,24.433493364,33.27210944,7.47732916,6.552781150000001,11.820828229999996,7.469975,46.249697149999996,102.383108953,146.257209539,249.279122771,12.076710768133333,16.8380712,23.8331595,22.516842182666668,24.766714180666668,22.695821875,23.361163856,25.61387330625,19.392643261333333,14.7501786376,11.300618428133333,4.7862338179375,6.584916709133334,11.955233507375,18.7437529584,18.233195402,19.925937832,18.6639113275,19.404141228666667,20.566129964375,15.158980136666665,11.174459403133334,8.249519364066666,2.4200548268124997,1.0931226494000001,7.072395813375,13.654346414799999,13.949548615733333,15.085161478666667,14.632000775,15.447118598,15.518386616875,10.925317009733334,7.598740168466667,5.198420297533334,0.05387583531249995,0.01,0.06,0.01,0.02,0.06,0.05,0.05,0.01,0.05,0.01,0.01,0.02,0.01,0.06,0.01,0.02,0.06,0.05,0.05,0.01,0.05,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BIFROST-RIVERTON,0.0,2.2875407400000007,35.58978774,36.77004047,36.36639664,17.17536239,32.88294666,48.52805443,3.634399199999997,0.0,0.0,0.0,171.226249363,99.003804622,24.433493364,33.27210944,7.47732916,6.552781150000001,11.820828229999996,7.469975,46.249697149999996,102.383108953,146.257209539,249.279122771,12.076710768133333,16.8380712,23.8331595,22.516842182666668,24.766714180666668,22.695821875,23.361163856,25.61387330625,19.392643261333333,14.7501786376,11.300618428133333,4.7862338179375,6.584916709133334,11.955233507375,18.7437529584,18.233195402,19.925937832,18.6639113275,19.404141228666667,20.566129964375,15.158980136666665,11.174459403133334,8.249519364066666,2.4200548268124997,1.0931226494000001,7.072395813375,13.654346414799999,13.949548615733333,15.085161478666667,14.632000775,15.447118598,15.518386616875,10.925317009733334,7.598740168466667,5.198420297533334,0.05387583531249995,0.011443939,0.065034082,0.017702072,0.036234529,0.070021896,0.052770763,0.060629184,0.01369864,0.052853252,0.013082705,0.014715982,0.028480603,0.011443939,0.065034082,0.017702072,0.036234529,0.070021896,0.052770763,0.060629184,0.01369864,0.052853252,0.013082705,0.014715982,0.028480603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BOISSEVAIN-MORTON,0.0,0.0,23.714497910000002,33.04850447,26.179829929999997,18.66474766,29.415604480000002,46.303922299999996,5.9237681099999975,0.0,0.0,0.0,175.859602357,95.45470166000001,31.233690399,31.750518168,12.448558160000001,20.855531579999997,9.390819339999998,6.039387060000001,43.52438677000001,114.781846028,133.506878807,260.579134668,12.1118038682,16.924295529375,22.991577437333333,22.500795896266666,24.110903758666666,21.969213736875002,23.85507637866667,26.16619822625,20.357638226666666,13.3276688222,12.895984579466667,4.621612617125,6.276026509533334,12.03408114625,17.498720500733334,18.086532420133334,18.915418117999998,17.863076005,19.334985676,20.5165334525,15.493292089333332,10.347876931466667,9.099541412866667,1.7138040832499999,0.44024915113333335,7.1438667608749995,12.005863559,13.672268941066667,13.7199324728,13.7569382695625,14.814894969866666,14.866868672875,10.628945949466667,7.3680850391999995,5.303098244466667,-1.1940044510624999,0.017157645,0.082488701,0.032566533,0.054739504999999994,0.038153767,0.078133292,0.023668754,0.013500647,0.02026472,0.027254261999999998,0.011460441,0.028695072000000002,0.017157645,0.082488701,0.032566533,0.054739504999999994,0.038153767,0.078133292,0.023668754,0.013500647,0.02026472,0.027254261999999998,0.011460441,0.028695072000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BRENDA-WASKADA,0.0,0.0,24.07373761,31.823030470000003,26.68702422,19.962671359999995,31.86362611,51.14239647000001,5.218628510000002,0.0,0.0,0.0,174.843509177,97.185674218,31.601000721,30.842632316,12.414064739999999,20.784348790000003,7.842867790000003,4.532242779999999,40.05252165,114.366212633,130.089425427,267.298847141,12.290530796066665,16.86754646625,23.12829701533333,22.586376089599998,24.172349295333333,22.06656773125,24.302545992,26.701033671875,20.718223068,13.348150666866667,13.142419010400001,4.3026437528125,6.343766054866666,11.925895361375,17.498182459266665,18.065359876933332,18.951530632,17.948645160625,19.601383887999997,20.913134605625,15.677740457333334,10.375585824466667,9.327371638199999,1.2938220536874998,0.3970013144666666,6.9842442545625,11.868067900066668,13.544343659199999,13.730711963066666,13.8307225855,14.900221780266666,15.125235534625,10.637257845533332,7.4030209794,5.512324264666666,-1.7149996457499999,0.028366667,0.033361835,0.012736627,0.09501327600000001,0.039835278,0.029662749999999998,0.061083966,0.061203084,0.045734157,0.022790015,0.109564417,0.025718541,0.028366667,0.033361835,0.012736627,0.09501327600000001,0.039835278,0.029662749999999998,0.061083966,0.061203084,0.045734157,0.022790015,0.109564417,0.025718541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BROKENHEAD,0.0,1.5553714999999997,30.157246749999995,39.048465230000005,31.517134229999996,15.73252412,34.71164466000001,43.245007,9.13707913,0.0,0.0,0.0,175.710938941,93.744863447,26.695603331999997,27.213131699999998,7.656138020000002,8.887271250000007,11.28053663,8.804294649999997,44.58626119,104.216979898,148.167593476,237.084053851,12.158899065733333,17.201558724999998,23.727488832000002,23.082897767333336,24.795023481999998,22.615345835,23.596118016666665,25.296861306875,19.857463736666666,14.497090868133334,11.669552557400001,5.9269633415625,6.285937403933334,12.2381567533125,18.230776227866667,18.789022235333334,19.590733080666666,18.427828304374998,19.56207386866667,20.152544521875,15.636721196,11.052201340133333,8.122160434933333,3.1822466343125,0.4129757406666665,7.274754780125,12.734063619933332,14.495146698333334,14.3864426758,14.240310769375,15.528029714866667,15.0082277325,11.415978653266666,7.6073118116,4.574768310466666,0.43752992718749995,0.048021705,0.014186183,0.024308023999999998,0.101134346,0.067370868,0.037713759,0.021384336,0.044161477,0.009077235,0.059320225,0.057231026,0.012517176000000001,0.048021705,0.014186183,0.024308023999999998,0.101134346,0.067370868,0.037713759,0.021384336,0.044161477,0.009077235,0.059320225,0.057231026,0.012517176000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,CARTIER,0.0,1.7557804899999994,30.84153971,38.09817063,33.46378509,16.1862989,32.74118541,44.27513696,7.104106610000002,0.0,0.0,0.0,173.94948298,93.391218729,25.840314368999998,31.05873438,6.651548530000001,7.364510739999998,10.394979780000003,7.179542649999998,44.60106243,102.721398917,141.883343721,239.146505849,12.2570031896,17.223695751875,23.657824467333334,22.744621173333332,24.907086572666667,22.6477563975,23.572766103333333,25.6125279625,19.847940330666667,14.567407520266666,12.123936424866667,5.8617753031875,6.403367801333333,12.2727851100625,18.333415022733334,18.46929575,19.78748243733333,18.55136176,19.489747041999998,20.318474644375,15.500202945333333,11.151906738866668,8.5411104186,3.0533433844375,0.5497324133333333,7.321874466375,13.009005572733335,14.193970322066667,14.667878298000002,14.45496711875,15.4067279754,15.024421321875,11.152465557333333,7.736405955066667,4.9582844116,0.24491146543749998,0.066993236,0.047522274,0.016610929,0.067828325,0.07018215300000001,0.013162397,0.08659834500000001,0.014503704000000001,0.057335617000000005,0.012695094,0.038405474,0.007758114,0.066993236,0.047522274,0.016610929,0.067828325,0.07018215300000001,0.013162397,0.08659834500000001,0.014503704000000001,0.057335617000000005,0.012695094,0.038405474,0.007758114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,CARTWRIGHT-ROBLIN,0.0,0.0,23.03654293,36.510785170000005,24.091732460000006,19.376294129999998,31.31049607,47.55400983,13.688814899999997,0.0,0.0,0.0,173.641182686,86.998149084,28.143135732,27.304065308,12.539851760000003,18.96212947,9.902887100000001,5.204480979999998,42.43802473,113.789749159,130.013193535,252.93076561,12.155898539933334,17.54535530375,23.19091667,22.94826551,23.952789131333336,22.06020792125,24.019322516,26.180874708125,20.885991559999997,13.516962818933333,13.4980464634,5.386379607375,6.423921154266666,12.56261568225,17.659560479866666,18.613781324133335,18.770125380000003,18.02588529125,19.427173931333336,20.646845553125,16.08338601133333,10.414016722733333,9.332453764333334,2.191827149375,0.6919437681999999,7.5798760594375,12.128204286533334,14.279297135066667,13.587461621466668,13.9915626545,14.835025342933333,15.112816391875,11.280780459866666,7.3110706249333335,5.166861064666667,-1.0027253088749999,0.01713566,0.106030968,0.047205525,0.051962387,0.038164765,0.084655391,0.01909889,0.020979623,0.017053161,0.035134706,0.005345277,0.023591789000000002,0.01713566,0.106030968,0.047205525,0.051962387,0.038164765,0.084655391,0.01909889,0.020979623,0.017053161,0.035134706,0.005345277,0.023591789000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
