Year,Municipality,Crop,Mean_Yield
1996,ALEXANDER,ARGENTINE CANOLA,0.7284280973451327
1996,ALEXANDER,OATS,1.215
1996,ALONSA,ALFALFA/GRASS MIX.,1.609253280839895
1996,ARGYLE,ALFALFA,2.080575
1996,ARGYLE,ALFALFA/GRASS MIX.,1.658
1996,ARGYLE,ARGENTINE CANOLA,0.6935734039423359
1996,ARGYLE,BARLEY,1.5078567425329779
1996,ARGYLE,FLAX,0.5249553221787113
1996,ARGYLE,OATS,1.0220270744547506
1996,ARGYLE,RED SPRING WHEAT,0.9514278472543873
1996,BIFROST-RIVERTON,ALFALFA,2.460388484447386
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,1.7766017548135509
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,0.865740972362316
1996,BIFROST-RIVERTON,BARLEY,1.7545401588282847
1996,BIFROST-RIVERTON,FLAX,0.55
1996,BIFROST-RIVERTON,RED SPRING WHEAT,1.2034621687271145
1996,BOISSEVAIN-MORTON,ALFALFA,2.1408221737776394
1996,BOISSEVAIN-MORTON,ALFALFA/GRASS MIX.,1.914
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,0.7412459072216255
1996,BOISSEVAIN-MORTON,BARLEY,1.4373745522631063
1996,BOISSEVAIN-MORTON,OATS,1.02
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,1.0010532993486265
1996,BRENDA-WASKADA,ARGENTINE CANOLA,0.5486138342696629
1996,BRENDA-WASKADA,BARLEY,1.10389857076994
1996,BRENDA-WASKADA,OATS,1.0008693411851306
1996,BRENDA-WASKADA,RED SPRING WHEAT,0.841341201698902
1996,BROKENHEAD,ARGENTINE CANOLA,0.8051072535647862
1996,BROKENHEAD,OATS,1.0251045632333768
1996,BROKENHEAD,RED SPRING WHEAT,1.0779392527867906
1996,CARTIER,ARGENTINE CANOLA,0.8728735872750105
1996,CARTIER,BARLEY,1.7787598073927207
1996,CARTIER,FLAX,0.647432942522162
1996,CARTIER,OATS,1.5556773355839772
1996,CARTIER,RED SPRING WHEAT,1.2630113020028484
1996,CARTWRIGHT-ROBLIN,ALFALFA,2.129
1996,CARTWRIGHT-ROBLIN,ALFALFA/GRASS MIX.,1.762
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,0.6266534562211982
1996,CARTWRIGHT-ROBLIN,BARLEY,1.3360643145423772
1996,CARTWRIGHT-ROBLIN,FLAX,0.5025732056048041
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,0.8604861893268974
1996,CLANWILLIAM-ERICKSON,RED SPRING WHEAT,0.8682181208053691
1996,COLDWELL,ALFALFA/GRASS MIX.,1.8349334965320279
1996,CORNWALLIS,ARGENTINE CANOLA,0.7042193396226415
1996,CORNWALLIS,BARLEY,1.3562471368294151
1996,CORNWALLIS,RED SPRING WHEAT,1.0429760720653092
1996,DAUPHIN,ALFALFA,2.363
1996,DAUPHIN,ALFALFA/GRASS MIX.,1.7063887915936953
1996,DAUPHIN,ARGENTINE CANOLA,0.6971302204573463
1996,DAUPHIN,RED SPRING WHEAT,1.065458217052533
1996,DELORAINE-WINCHESTER,ALFALFA,2.113
1996,DELORAINE-WINCHESTER,ARGENTINE CANOLA,0.6341704688593423
1996,DELORAINE-WINCHESTER,BARLEY,1.3395889232553644
1996,DELORAINE-WINCHESTER,OATS,1.032
1996,DELORAINE-WINCHESTER,RED SPRING WHEAT,0.9583197118370388
1996,DESALABERRY,ARGENTINE CANOLA,0.7784095950155764
1996,DESALABERRY,OATS,1.3173311684217164
1996,DESALABERRY,RED SPRING WHEAT,1.090751348492861
1996,DUFFERIN,ARGENTINE CANOLA,0.8194920996441281
1996,DUFFERIN,BARLEY,1.5910421452629762
1996,DUFFERIN,GRAIN CORN,2.2655704752604167
1996,DUFFERIN,OATS,1.2011261475688542
1996,DUFFERIN,PROC POTATOES-IRRIG,12.915000000000001
1996,DUFFERIN,RED SPRING WHEAT,1.1392407548125634
1996,DUFFERIN,WHITE PEA BEANS,0.661825828797625
1996,ELLICE-ARCHIE,ALFALFA/GRASS MIX.,1.2290726552179656
1996,ELLICE-ARCHIE,ARGENTINE CANOLA,0.6554083958020989
1996,ELLICE-ARCHIE,RED SPRING WHEAT,0.9118739367779611
1996,ELTON,ARGENTINE CANOLA,0.740711464944963
1996,ELTON,BARLEY,1.4078996975806453
1996,ELTON,FLAX,0.6700036733194563
1996,ELTON,OATS,1.0208126888217521
1996,ELTON,RED SPRING WHEAT,1.0205806742245713
1996,EMERSON-FRANKLIN,ARGENTINE CANOLA,0.70073976178822
1996,EMERSON-FRANKLIN,BARLEY,1.5284065817409769
1996,EMERSON-FRANKLIN,OATS,1.367499856692462
1996,EMERSON-FRANKLIN,RED SPRING WHEAT,1.1087655109713246
1996,ETHELBERT,ARGENTINE CANOLA,0.524
1996,ETHELBERT,RED SPRING WHEAT,0.817147305680574
1996,FISHER,ALFALFA,2.596
1996,FISHER,ALFALFA/GRASS MIX.,1.722
1996,FISHER,ARGENTINE CANOLA,0.8007793764988009
1996,FISHER,RED SPRING WHEAT,0.9833199980766456
1996,GILBERT PLAINS,ALFALFA,1.7831492464754497
1996,GILBERT PLAINS,ALFALFA/GRASS MIX.,1.638
1996,GILBERT PLAINS,ARGENTINE CANOLA,0.6916972309449043
1996,GILBERT PLAINS,BARLEY,1.4852521541520691
1996,GILBERT PLAINS,RED SPRING WHEAT,1.076339937434828
1996,GLENBORO-SOUTH CYPRESS,ARGENTINE CANOLA,0.7012044678870617
1996,GLENBORO-SOUTH CYPRESS,BARLEY,1.488532309233595
1996,GLENBORO-SOUTH CYPRESS,OATS,1.074472097951495
1996,GLENBORO-SOUTH CYPRESS,PROC POTATOES-IRRIG,12.596
1996,GLENBORO-SOUTH CYPRESS,RED SPRING WHEAT,1.0543785483181736
1996,GLENELLA-LANSDOWNE,ALFALFA/GRASS MIX.,1.946
1996,GLENELLA-LANSDOWNE,ARGENTINE CANOLA,0.7269670763332958
1996,GLENELLA-LANSDOWNE,BARLEY,1.2853098785239514
1996,GLENELLA-LANSDOWNE,RED SPRING WHEAT,1.006197669305189
1996,GRAHAMDALE,ALFALFA,1.9171804511278197
1996,GRAHAMDALE,ALFALFA/GRASS MIX.,1.4951891568666535
1996,GRANDVIEW,ALFALFA/GRASS MIX.,1.9710187529301453
1996,GRANDVIEW,ARGENTINE CANOLA,0.6803094987204577
1996,GRANDVIEW,BARLEY,1.2751958153085547
1996,GRANDVIEW,RED SPRING WHEAT,0.9914094042880249
1996,GRASSLAND,ALFALFA,1.671983813859383
1996,GRASSLAND,ARGENTINE CANOLA,0.6907222138383763
1996,GRASSLAND,BARLEY,1.5470151899842408
1996,GRASSLAND,FLAX,0.6135580648209392
1996,GRASSLAND,OATS,1.0886531832571227
1996,GRASSLAND,RED SPRING WHEAT,1.0724678454975078
1996,GRASSLAND,WINTER WHEAT,1.254
1996,GREY,ARGENTINE CANOLA,0.8351593114012693
1996,GREY,BARLEY,1.6197975280686858
1996,GREY,FLAX,0.6092168882323978
1996,GREY,GRAIN CORN,1.876
1996,GREY,OATS,1.2828613254740762
1996,GREY,RED SPRING WHEAT,1.1562547212915018
1996,HAMIOTA,ARGENTINE CANOLA,0.7557464617521925
1996,HAMIOTA,BARLEY,1.4100070012729586
1996,HAMIOTA,FLAX,0.605
1996,HAMIOTA,RED SPRING WHEAT,1.0555238943054965
1996,HANOVER,ARGENTINE CANOLA,0.8990587170721899
1996,HANOVER,BARLEY,1.7227084825016439
1996,HANOVER,OATS,1.298999071925754
1996,HANOVER,RED SPRING WHEAT,1.2372295933659707
1996,HARRISON PARK,ARGENTINE CANOLA,0.7523426704014939
1996,HARRISON PARK,BARLEY,1.311996950832169
1996,HARRISON PARK,FLAX,0.6447456732179525
1996,HARRISON PARK,OATS,1.1592979656960511
1996,HARRISON PARK,RED SPRING WHEAT,0.9938030487275253
1996,HEADINGLEY,RED SPRING WHEAT,0.9650844412504491
1996,HILLSBURG-ROBLIN-SHELL RIVER,ALFALFA,1.750254192409532
1996,HILLSBURG-ROBLIN-SHELL RIVER,ALFALFA/GRASS MIX.,1.4381006886725243
1996,HILLSBURG-ROBLIN-SHELL RIVER,ARGENTINE CANOLA,0.7299567452235477
1996,HILLSBURG-ROBLIN-SHELL RIVER,BARLEY,1.2513791316776846
1996,HILLSBURG-ROBLIN-SHELL RIVER,OATS,1.0021620382165606
1996,HILLSBURG-ROBLIN-SHELL RIVER,RED SPRING WHEAT,1.0427471191990427
1996,KELSEY,RED SPRING WHEAT,0.9227462622810764
1996,KILLARNEY-TURTLE MTN,ARGENTINE CANOLA,0.6644540999057493
1996,KILLARNEY-TURTLE MTN,OATS,0.9554113991477273
1996,KILLARNEY-TURTLE MTN,RED SPRING WHEAT,0.9163564539531708
1996,LAC DU BONNET,ARGENTINE CANOLA,0.854062614678899
1996,LAC DU BONNET,OATS,1.3394264283434407
1996,LAC DU BONNET,RED SPRING WHEAT,1.0834721614393386
1996,LAKESHORE,ALFALFA,1.806
1996,LAKESHORE,ALFALFA/GRASS MIX.,1.541517014270033
1996,LAKESHORE,ARGENTINE CANOLA,0.7764588061901253
1996,LAKESHORE,RED SPRING WHEAT,1.0763977365029511
1996,LORNE,ALFALFA,2.146998719590269
1996,LORNE,ARGENTINE CANOLA,0.8269872751798562
1996,LORNE,BARLEY,1.6394546171776943
1996,LORNE,FLAX,0.6423168738650651
